id ; popSize ; tournament ; mutation ; crossover ; preserveCommonLink ; swapMutation ; numOfCycles ; duration ; best ; av ; worst ; bestFitness ; bestResult
49 ; 25 ; 2 ; 16.0 ; 51 ; true ; false ; 1000 ; 1422 ; 596.3467917105345 ; 727.0079669387949 ; 946.5694019915143 ; 537.439769037788 ; 1.0 ; [Berlin, Prag, Budapest, Wien, Kiew, Mins, Riga, Kischinau, Warschau, Vilnius, Sotschi, Kasan, Samara, Jekaterinenburg, Nowgorod, Saransk, Wolgograd, Rostow, Moskau, StPetersburg, Kaliningrad, Berlin]
50 ; 25 ; 2 ; 16.0 ; 100 ; true ; false ; 10 ; 291 ; 801.7980143508031 ; 881.4272498867507 ; 1037.2907608347523 ; 792.9199090173927 ; 1.2611614220145215 ; [Berlin, Prag, Wien, Vilnius, Warschau, Jekaterinenburg, Wolgograd, Rostow, Samara, Nowgorod, Saransk, StPetersburg, Riga, Budapest, Moskau, Kischinau, Kiew, Kaliningrad, Kasan, Sotschi, Mins, Berlin]
51 ; 25 ; 2 ; 16.0 ; 100 ; true ; false ; 120 ; 2938 ; 517.5363450615362 ; 633.573446034303 ; 725.8665565467143 ; 517.5363450615362 ; 1.5321047817870894 ; [Berlin, Kaliningrad, Warschau, Sotschi, Rostow, Kiew, Moskau, Jekaterinenburg, Kasan, Saransk, Vilnius, Samara, Wolgograd, Kischinau, Riga, StPetersburg, Mins, Nowgorod, Budapest, Wien, Prag, Berlin]
52 ; 25 ; 2 ; 16.0 ; 100 ; true ; false ; 230 ; 2691 ; 514.7231183064318 ; 617.3764720417363 ; 854.6319676067214 ; 514.7231183064317 ; 1.005465514671967 ; [Berlin, Prag, Wien, Budapest, Kaliningrad, Vilnius, Mins, StPetersburg, Riga, Kischinau, Samara, Nowgorod, Saransk, Kasan, Moskau, Kiew, Rostow, Sotschi, Warschau, Jekaterinenburg, Wolgograd, Berlin]
53 ; 25 ; 2 ; 16.0 ; 100 ; true ; false ; 340 ; 2872 ; 555.696674323807 ; 648.7432740146718 ; 761.1660860579026 ; 503.2103336156638 ; 1.022878673035282 ; [Berlin, Prag, Wien, Budapest, Kaliningrad, Vilnius, Mins, StPetersburg, Riga, Kischinau, Wolgograd, Samara, Saransk, Kasan, Jekaterinenburg, Nowgorod, Moskau, Kiew, Rostow, Sotschi, Warschau, Berlin]
54 ; 25 ; 2 ; 16.0 ; 100 ; true ; false ; 450 ; 3155 ; 499.9601151551293 ; 616.6142161506573 ; 835.1213567178002 ; 499.9601151551293 ; 1.0065009555002722 ; [Berlin, Prag, Wien, Budapest, Kaliningrad, Kiew, Riga, Vilnius, Mins, Kischinau, Saransk, Kasan, Jekaterinenburg, Nowgorod, Samara, Wolgograd, Rostow, Sotschi, Moskau, StPetersburg, Warschau, Berlin]
55 ; 25 ; 2 ; 16.0 ; 100 ; true ; false ; 560 ; 4065 ; 520.9347159111389 ; 603.7070022221844 ; 755.0528652567751 ; 476.4811805564043 ; 1.0492756808806338 ; [Berlin, Prag, Wien, Budapest, Kaliningrad, Riga, Vilnius, Kiew, Mins, Kischinau, Saransk, Kasan, Jekaterinenburg, Nowgorod, Samara, Wolgograd, Rostow, Sotschi, Moskau, StPetersburg, Warschau, Berlin]
56 ; 25 ; 2 ; 16.0 ; 100 ; true ; false ; 670 ; 3105 ; 520.9347159111389 ; 595.3156771190194 ; 725.8501417718411 ; 476.4811805564043 ; 1.0 ; [Berlin, Prag, Wien, Budapest, Kaliningrad, Riga, Vilnius, Kiew, Mins, Kischinau, Saransk, Kasan, Jekaterinenburg, Nowgorod, Samara, Wolgograd, Rostow, Sotschi, Moskau, StPetersburg, Warschau, Berlin]
57 ; 25 ; 2 ; 16.0 ; 100 ; true ; false ; 780 ; 2953 ; 534.0481339137275 ; 640.5426244830271 ; 800.3913906632342 ; 476.4811805564043 ; 1.0 ; [Berlin, Prag, Wien, Budapest, Kaliningrad, Riga, Vilnius, Kiew, Mins, Kischinau, Saransk, Kasan, Jekaterinenburg, Nowgorod, Samara, Wolgograd, Rostow, Sotschi, Moskau, StPetersburg, Warschau, Berlin]
58 ; 25 ; 2 ; 16.0 ; 100 ; true ; false ; 890 ; 3694 ; 484.80081214900537 ; 583.5271871752332 ; 733.3180417364097 ; 474.72489579128603 ; 1.0036995842870022 ; [Berlin, Prag, Wien, Budapest, Kischinau, Kiew, Warschau, Riga, Mins, Saransk, Kasan, Jekaterinenburg, Nowgorod, Samara, Wolgograd, Rostow, Sotschi, Moskau, StPetersburg, Vilnius, Kaliningrad, Berlin]
